agency,sku,volume,date,industryVolume,sodaVolume,avgMaxTemp,priceRegular,priceActual,discount,avgPopulation2017,avgYearlyHouseholdIncome2017,easterDay,goodFriday,newYear,christmas,laborDay,independenceDay,revolutionDayMemorial,regionalGames,fifaU17WorldCup,footballGoldCup,beerCapital,musicFest,discountInPercent
Agency_52,SKU_05,961.4394,1/1/2013,492612703,718394219,30.59489796,1297.265653,1136.518213,160.74744,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,12.39125075
Agency_05,SKU_14,0,1/1/2013,492612703,718394219,24.07901235,0,0,0,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_57,SKU_23,0,1/1/2013,492612703,718394219,22.21973684,0,0,0,2212416,187351,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_52,SKU_02,1044.684,1/1/2013,492612703,718394219,30.59489796,1151.660504,1069.407354,82.25315,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,7.142135179
Agency_15,SKU_01,959.58,1/1/2013,492612703,718394219,22.21973684,1205.388421,1148.291889,57.096532,200260,104564,0,0,1,0,0,0,0,0,0,0,0,0,4.736774554
Agency_37,SKU_18,1.0998,1/1/2013,492612703,718394219,26.505,1185.319149,1113.75,71.569149,32769,96761,0,0,1,0,0,0,0,0,0,0,0,0,6.037964464
Agency_11,SKU_04,230.3595,1/1/2013,492612703,718394219,25.36,1744.572406,1594.790529,149.781877,135561,100461,0,0,1,0,0,0,0,0,0,0,0,0,8.585592463
Agency_43,SKU_05,369.342,1/1/2013,492612703,718394219,21.76637931,1280.121955,1132.621048,147.500907,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,11.52241053
Agency_56,SKU_03,3647.529,1/1/2013,492612703,718394219,21.20731707,1253.53154,1112.066564,141.464976,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,11.28531445
Agency_52,SKU_01,118.8,1/1/2013,492612703,718394219,30.59489796,1150,1082.463637,67.536363,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,5.872727217
Agency_43,SKU_01,224.856,1/1/2013,492612703,718394219,21.76637931,1177.632728,1101.073346,76.559382,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,6.501125536
Agency_35,SKU_32,0.1917,1/1/2013,492612703,718394219,21.3125,1436.93662,1436.93662,0,14138,93105,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_02,SKU_03,7332.0282,1/1/2013,492612703,718394219,22.14791667,1250.300782,1129.909681,120.391101,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,9.628971103
Agency_24,SKU_21,0,1/1/2013,492612703,718394219,25.8452381,0,0,0,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_52,SKU_03,44.7534,1/1/2013,492612703,718394219,30.59489796,1236.408016,848.382486,388.02553,149811,131764,0,0,1,0,0,0,0,0,0,0,0,0,31.38329136
Agency_16,SKU_04,1623.4434,1/1/2013,492612703,718394219,22.21973684,1739.124518,1599.378263,139.746255,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,8.035437
Agency_28,SKU_04,42.6213,1/1/2013,492612703,718394219,29.96875,1895.508161,1710.195272,185.312889,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,9.77642264
Agency_05,SKU_03,632.0466,1/1/2013,492612703,718394219,24.07901235,1291.542455,1190.558102,100.984353,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,7.818895353
Agency_43,SKU_02,95.472,1/1/2013,492612703,718394219,21.76637931,1135.30605,1032.262285,103.043765,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,9.076298413
Agency_09,SKU_21,0,1/1/2013,492612703,718394219,30.82888889,0,0,0,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_16,SKU_07,16.3725,1/1/2013,492612703,718394219,22.21973684,1135.772543,1117.681453,18.09109,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,1.592844457
Agency_28,SKU_02,47.088,1/1/2013,492612703,718394219,29.96875,1124.625573,1119.53168,5.093893,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,0.452941239
Agency_20,SKU_07,8.85,1/1/2013,492612703,718394219,22.21973684,1104.112256,1104.112256,0,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_56,SKU_01,2999.16,1/1/2013,492612703,718394219,21.20731707,1139.808957,1058.199912,81.609045,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,7.159888023
Agency_24,SKU_05,433.6893,1/1/2013,492612703,718394219,25.8452381,1310.176057,1195.790835,114.385222,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,8.730523
Agency_20,SKU_01,3764.016,1/1/2013,492612703,718394219,22.21973684,1167.267631,1058.8831,108.384531,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,9.285319675
Agency_34,SKU_03,2.1996,1/1/2013,492612703,718394219,24.6,1159.148936,1114.566285,44.582651,12271,97222,0,0,1,0,0,0,0,0,0,0,0,0,3.846153813
Agency_24,SKU_02,92.016,1/1/2013,492612703,718394219,25.8452381,1167,1066.566902,100.433098,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,8.606092374
Agency_02,SKU_05,2629.2933,1/1/2013,492612703,718394219,22.14791667,1291.025776,1117.887419,173.138357,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,13.41091404
Agency_54,SKU_15,0,1/1/2013,492612703,718394219,21.75438596,0,0,0,48332,122313,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_12,SKU_04,1786.0689,1/1/2013,492612703,718394219,22.21973684,1758.565154,1607.683561,150.881593,1596955,205376,0,0,1,0,0,0,0,0,0,0,0,0,8.579812505
Agency_09,SKU_05,1435.9608,1/1/2013,492612703,718394219,30.82888889,1329.358551,1195.088612,134.269939,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,10.10035546
Agency_24,SKU_01,3.78,1/1/2013,492612703,718394219,25.8452381,1167,1059.317857,107.682143,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,9.227261611
Agency_30,SKU_03,8437.8348,1/1/2013,492612703,718394219,26.40169492,1271.468267,1121.338131,150.130136,1094349,247220,0,0,1,0,0,0,0,0,0,0,0,0,11.80761958
Agency_02,SKU_02,8422.164,1/1/2013,492612703,718394219,22.14791667,1076.408593,994.1781096,82.2304834,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,7.639337324
Agency_54,SKU_14,0,1/1/2013,492612703,718394219,21.75438596,0,0,0,48332,122313,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_09,SKU_02,1362.636,1/1/2013,492612703,718394219,30.82888889,1143.295601,1015.837582,127.458019,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,11.14829961
Agency_44,SKU_02,0,1/1/2013,492612703,718394219,21.76637931,0,0,0,31613,121781,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_30,SKU_08,92.5272,1/1/2013,492612703,718394219,26.40169492,1492.310381,1464.569909,27.740472,1094349,247220,0,0,1,0,0,0,0,0,0,0,0,0,1.858894259
Agency_10,SKU_23,0,1/1/2013,492612703,718394219,25.36,0,0,0,1716027,117463,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_44,SKU_05,0,1/1/2013,492612703,718394219,21.76637931,0,0,0,31613,121781,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_02,SKU_31,92.4825,1/1/2013,492612703,718394219,22.14791667,1101.905085,1101.905085,0,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_18,SKU_03,0,1/1/2013,492612703,718394219,30.59489796,0,0,0,60189,135477,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_44,SKU_04,0,1/1/2013,492612703,718394219,21.76637931,0,0,0,31613,121781,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_09,SKU_27,0,1/1/2013,492612703,718394219,30.82888889,0,0,0,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_44,SKU_03,0,1/1/2013,492612703,718394219,21.76637931,0,0,0,31613,121781,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_32,SKU_14,0,1/1/2013,492612703,718394219,21.75438596,0,0,0,1199179,126063,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_02,SKU_12,69.825,1/1/2013,492612703,718394219,22.14791667,1116.27,1116.27,0,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_48,SKU_01,3195.382074,1/1/2013,492612703,718394219,24.05289256,1221.543089,1183.496439,38.04665,1739969,210213,0,0,1,0,0,0,0,0,0,0,0,0,3.11463839
Agency_28,SKU_01,8.1,1/1/2013,492612703,718394219,29.96875,1175.0625,1171.929167,3.133333,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,0.266652455
Agency_24,SKU_04,44.0271,1/1/2013,492612703,718394219,25.8452381,1742.112676,1592.180288,149.932388,42122,93027,0,0,1,0,0,0,0,0,0,0,0,0,8.606354231
Agency_02,SKU_11,0,1/1/2013,492612703,718394219,22.14791667,0,0,0,3137874,240809,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_10,SKU_21,0,1/1/2013,492612703,718394219,25.36,0,0,0,1716027,117463,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_59,SKU_04,1948.6305,1/1/2013,492612703,718394219,22.21973684,1769.206338,1473.490236,295.716102,1219986,218902,0,0,1,0,0,0,0,0,0,0,0,0,16.71461919
Agency_56,SKU_05,76.5522,1/1/2013,492612703,718394219,21.20731707,1290.50523,1244.505797,45.999433,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,3.564451498
Agency_19,SKU_03,62.604,1/1/2013,492612703,718394219,26.40169492,1370.18617,1273.916767,96.269403,48146,122042,0,0,1,0,0,0,0,0,0,0,0,0,7.026008955
Agency_09,SKU_04,3270.0825,1/1/2013,492612703,718394219,30.82888889,1760.285267,1525.10062,235.184647,1646094,213511,0,0,1,0,0,0,0,0,0,0,0,0,13.3605985
Agency_32,SKU_03,631.962,1/1/2013,492612703,718394219,21.75438596,1238.935874,1188.81497,50.120904,1199179,126063,0,0,1,0,0,0,0,0,0,0,0,0,4.045480081
Agency_20,SKU_02,8410.284,1/1/2013,492612703,718394219,22.21973684,1166.680919,1057.56548,109.115439,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,9.35263766
Agency_57,SKU_04,2097.4536,1/1/2013,492612703,718394219,22.21973684,1766.877293,1610.70411,156.173183,2212416,187351,0,0,1,0,0,0,0,0,0,0,0,0,8.838937691
Agency_56,SKU_02,692.928,1/1/2013,492612703,718394219,21.20731707,1105.146315,1013.30142,91.844895,1901290,206553,0,0,1,0,0,0,0,0,0,0,0,0,8.310654775
Agency_19,SKU_08,3.3228,1/1/2013,492612703,718394219,26.40169492,1497.359155,1140.909369,356.449786,48146,122042,0,0,1,0,0,0,0,0,0,0,0,0,23.80522968
Agency_20,SKU_05,3281.3289,1/1/2013,492612703,718394219,22.21973684,1310.146722,1190.486912,119.65981,1825752,102317,0,0,1,0,0,0,0,0,0,0,0,0,9.133313696
Agency_19,SKU_04,140.7717,1/1/2013,492612703,718394219,26.40169492,1814.049296,1641.902185,172.147111,48146,122042,0,0,1,0,0,0,0,0,0,0,0,0,9.489660032
Agency_43,SKU_04,372.537,1/1/2013,492612703,718394219,21.76637931,1735.647461,1555.302662,180.344799,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,10.39063537
Agency_59,SKU_17,0,1/1/2013,492612703,718394219,22.21973684,0,0,0,1219986,218902,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_27,SKU_03,1570.8528,1/1/2013,492612703,718394219,27.8425,1293.600388,1131.992208,161.60818,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,12.49289823
Agency_29,SKU_08,2.6838,1/1/2013,492612703,718394219,27.85,1535.372233,1520.684105,14.688128,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,0.956649318
Agency_21,SKU_02,39.744,1/1/2013,492612703,718394219,25.8452381,1167,1070.408797,96.591203,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,8.276881148
Agency_60,SKU_04,2201.0355,1/1/2013,492612703,718394219,22.21973684,1771.337125,1637.073176,134.263949,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,7.579807768
Agency_26,SKU_05,0,1/1/2013,492612703,718394219,18.855,0,0,0,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_27,SKU_08,187.227,1/1/2013,492612703,718394219,27.8425,1441.510699,1330.467626,111.043073,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,7.703243068
Agency_26,SKU_01,0,1/1/2013,492612703,718394219,18.855,0,0,0,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_29,SKU_06,12.096,1/1/2013,492612703,718394219,27.85,1128.044084,1091.513393,36.530691,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,3.238409874
Agency_21,SKU_05,206.8443,1/1/2013,492612703,718394219,25.8452381,1310.176057,1198.194958,111.981099,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,8.547026821
Agency_03,SKU_03,6899.7222,1/1/2013,492612703,718394219,21.20731707,1260.720158,1148.075845,112.644313,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,8.934918053
Agency_26,SKU_02,0,1/1/2013,492612703,718394219,18.855,0,0,0,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_27,SKU_04,4940.4285,1/1/2013,492612703,718394219,27.8425,1681.512959,1507.638034,173.874925,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,10.34038567
Agency_21,SKU_01,36.828,1/1/2013,492612703,718394219,25.8452381,1167,1070.942449,96.057551,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,8.231152614
Agency_49,SKU_34,0,1/1/2013,492612703,718394219,24.05289256,0,0,0,1880416,154532,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_03,SKU_04,2332.2222,1/1/2013,492612703,718394219,21.20731707,1743.421488,1554.785937,188.635551,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,10.81984777
Agency_29,SKU_05,16.1667,1/1/2013,492612703,718394219,27.85,1624.964789,1541.840589,83.1242,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,5.115446228
Agency_60,SKU_05,2005.3098,1/1/2013,492612703,718394219,22.21973684,1309.088704,1233.085829,76.002875,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,5.805784953
Agency_29,SKU_02,5.724,1/1/2013,492612703,718394219,27.85,1150.561321,1139.661556,10.899765,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,0.947343249
Agency_49,SKU_04,3664.8567,1/1/2013,492612703,718394219,24.05289256,1730.855669,1458.611349,272.24432,1880416,154532,0,0,1,0,0,0,0,0,0,0,0,0,15.72888629
Agency_60,SKU_02,2538.108,1/1/2013,492612703,718394219,22.21973684,1222.82582,1133.712394,89.113426,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,7.287499539
Agency_21,SKU_04,19.2978,1/1/2013,492612703,718394219,25.8452381,1742.112676,1624.61186,117.500816,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,6.744731131
Agency_60,SKU_23,0,1/1/2013,492612703,718394219,22.21973684,0,0,0,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_27,SKU_01,1155.816,1/1/2013,492612703,718394219,27.8425,1091.98193,983.9066535,108.0752765,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,9.897167117
Agency_03,SKU_01,3546.72,1/1/2013,492612703,718394219,21.20731707,1159.493185,1084.36514,75.128045,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,6.479386509
Agency_27,SKU_06,64.908,1/1/2013,492612703,718394219,27.8425,992.8490616,912.4412166,80.407845,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,8.098697789
Agency_04,SKU_01,21.816,1/1/2013,492612703,718394219,21.20731707,1141.983911,1096.712871,45.27104,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,3.964244992
Agency_03,SKU_02,972.324,1/1/2013,492612703,718394219,21.20731707,1116.318424,1070.86027,45.458154,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,4.0721494
Agency_27,SKU_02,448.632,1/1/2013,492612703,718394219,27.8425,1069.386666,969.9940692,99.3925968,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,9.29435535
Agency_04,SKU_05,14.2497,1/1/2013,492612703,718394219,21.20731707,1302.316522,998.5440222,303.7724998,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,23.32555064
Agency_27,SKU_05,74.0601,1/1/2013,492612703,718394219,27.8425,1534.469683,1433.170888,101.298795,1588818,218862,0,0,1,0,0,0,0,0,0,0,0,0,6.601550759
Agency_29,SKU_03,0,1/1/2013,492612703,718394219,27.85,0,0,0,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_04,SKU_02,71.496,1/1/2013,492612703,718394219,21.20731707,1098.714879,1015.718278,82.996601,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,7.553970788
Agency_04,SKU_03,389.6676,1/1/2013,492612703,718394219,21.20731707,1250.766507,1083.973217,166.79329,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,13.33528593
Agency_03,SKU_05,854.0235,1/1/2013,492612703,718394219,21.20731707,1308.831071,1187.016518,121.814553,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,9.307125702
Agency_26,SKU_04,6.9651,1/1/2013,492612703,718394219,18.855,1734.104858,1559.755782,174.349076,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,10.05412534
Agency_26,SKU_11,6.816,1/1/2013,492612703,718394219,18.855,1727.667254,1712.550066,15.117188,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,0.875005761
Agency_21,SKU_21,0,1/1/2013,492612703,718394219,25.8452381,0,0,0,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_21,SKU_03,15.9048,1/1/2013,492612703,718394219,25.8452381,1256.010638,1147.578089,108.432549,26635,130092,0,0,1,0,0,0,0,0,0,0,0,0,8.633091609
Agency_04,SKU_04,101.4093,1/1/2013,492612703,718394219,21.20731707,1728.659243,1427.842395,300.816848,50753,117957,0,0,1,0,0,0,0,0,0,0,0,0,17.40174353
Agency_49,SKU_03,7969.9122,1/1/2013,492612703,718394219,24.05289256,1331.920748,1178.925511,152.995237,1880416,154532,0,0,1,0,0,0,0,0,0,0,0,0,11.48681235
Agency_26,SKU_18,6.5142,1/1/2013,492612703,718394219,18.855,1272.367022,1199.660127,72.706895,32267,91330,0,0,1,0,0,0,0,0,0,0,0,0,5.714302064
Agency_15,SKU_02,0,1/1/2013,492612703,718394219,22.21973684,0,0,0,200260,104564,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_03,SKU_32,10.0323,1/1/2013,492612703,718394219,21.20731707,1539.52319,1394.347358,145.175832,1538040,217280,0,0,1,0,0,0,0,0,0,0,0,0,9.429921741
Agency_29,SKU_01,1.728,1/1/2013,492612703,718394219,27.85,1228.5,1228.5,0,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_05,SKU_21,0,1/1/2013,492612703,718394219,24.07901235,0,0,0,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_05,SKU_23,0,1/1/2013,492612703,718394219,24.07901235,0,0,0,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_58,SKU_05,1224.0045,1/1/2013,492612703,718394219,22.21973684,1304.750727,1191.462822,113.287905,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,8.682724037
Agency_25,SKU_04,27.9882,1/1/2013,492612703,718394219,25.8452381,1743.098109,1602.211557,140.886552,53598,95032,0,0,1,0,0,0,0,0,0,0,0,0,8.082537137
Agency_05,SKU_26,0,1/1/2013,492612703,718394219,24.07901235,0,0,0,3044268,182944,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_58,SKU_02,2128.896,1/1/2013,492612703,718394219,22.21973684,1216.663398,1111.244699,105.418699,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,8.664573881
Agency_25,SKU_05,506.9826,1/1/2013,492612703,718394219,25.8452381,1316.120807,1202.962318,113.158489,53598,95032,0,0,1,0,0,0,0,0,0,0,0,0,8.597880103
Agency_25,SKU_02,45.252,1/1/2013,492612703,718394219,25.8452381,1180.105609,1079.56787,100.537739,53598,95032,0,0,1,0,0,0,0,0,0,0,0,0,8.519384895
Agency_43,SKU_03,13.2822,1/1/2013,492612703,718394219,21.76637931,1252.018006,1142.380537,109.637469,184082,106262,0,0,1,0,0,0,0,0,0,0,0,0,8.756860403
Agency_28,SKU_03,1.0152,1/1/2013,492612703,718394219,29.96875,1397.792553,1397.792553,0,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_25,SKU_01,17.172,1/1/2013,492612703,718394219,25.8452381,1169.252358,1066.777516,102.474842,53598,95032,0,0,1,0,0,0,0,0,0,0,0,0,8.764133876
Agency_16,SKU_03,210.231,1/1/2013,492612703,718394219,22.21973684,1250.282738,1177.334926,72.947812,1232242,246911,0,0,1,0,0,0,0,0,0,0,0,0,5.834505251
Agency_57,SKU_17,0,1/1/2013,492612703,718394219,22.21973684,0,0,0,2212416,187351,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_15,SKU_05,161.2836,1/1/2013,492612703,718394219,22.21973684,1295.881007,1240.484699,55.396308,200260,104564,0,0,1,0,0,0,0,0,0,0,0,0,4.274798975
Agency_28,SKU_08,8.6904,1/1/2013,492612703,718394219,29.96875,1534.647887,1512.079536,22.568351,68666,133669,0,0,1,0,0,0,0,0,0,0,0,0,1.470588217
Agency_36,SKU_04,0,1/1/2013,492612703,718394219,21.3125,0,0,0,13110,94238,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_35,SKU_03,2.538,1/1/2013,492612703,718394219,21.3125,1159.148936,1159.148936,0,14138,93105,0,0,1,0,0,0,0,0,0,0,0,0,0
Agency_58,SKU_01,5547.744,1/1/2013,492612703,718394219,22.21973684,1216.057385,1108.412346,107.645039,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,8.851970337
Agency_58,SKU_07,26.55,1/1/2013,492612703,718394219,22.21973684,1124.995932,1098.750254,26.245678,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,2.332957592
Agency_60,SKU_03,335.016,1/1/2013,492612703,718394219,22.21973684,1265.715371,1174.171358,91.544013,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,7.232590762
Agency_36,SKU_03,5.5836,1/1/2013,492612703,718394219,21.3125,1176.375725,962.1083169,214.2674081,13110,94238,0,0,1,0,0,0,0,0,0,0,0,0,18.21419837
Agency_58,SKU_03,229.689,1/1/2013,492612703,718394219,22.21973684,1261.848344,1164.859673,96.988671,1620969,105857,0,0,1,0,0,0,0,0,0,0,0,0,7.686238323
Agency_60,SKU_07,35.8425,1/1/2013,492612703,718394219,22.21973684,1127.277698,1058.74021,68.537488,2180611,211936,0,0,1,0,0,0,0,0,0,0,0,0,6.079911642
Agency_29,SKU_04,44.2188,1/1/2013,492612703,718394219,27.85,1898.729291,1452.449219,446.280072,28329,93614,0,0,1,0,0,0,0,0,0,0,0,0,23.50414428
